#separator:Comma
#html:true
#guid column:1
#notetype column:6
#deck column:4
#tags column:5
#columns:GUID,Front_Text,Back_Extra,Deck,Tags,NoteType
CCS21-71f2f115,"The family-pension rule's sub-rule (1) THREE gateways (OR-joined): (i){{c1::1-year continuous service}}; second,{{c2::&lt;1 year WITH fit certificate}}; third,{{c3::death after retirement while receiving pension/compassionate allowance}}. Explanation 1:{{c4::pensionable establishment}}is the positive condition.","<b>Rule:</b> Any ONE gateway opens family pension; establishment must be pensionable.<br><br><b>Hinglish:</b> 1 saal, ya fit-cert, ya pension-lete-maut — koi ek; pensionable-post zaroori.<br><br><b>Ref:</b> Rules 50(1), 1; Rule 50(1)",CCS_Pension_Rules_2021::05_Family_Pension_DR_Rules_50_to_52,CCS_Pension Rule_50 Family_Pension Threshold CCS_Pension::Rule_50 Priority::Critical,Cloze
CCS21-5fd25bfb,"The family-pension rule's sub-rule (2)(a)(i): ORDINARY family pension ={{c1::30% of pay}}, floor{{c2::Rs 9,000}}, ceiling{{c3::Rs 75,000}}.","<b>Rule:</b> The default rate: 30% banded 9,000–75,000.<br><br><b>Hinglish:</b> Aam-dar 30% — 9,000 se kam nahi, 75,000 se zyada nahi.<br><br><b>Ref:</b> Rule 50(2)(a)(i); Rule 50(2)",CCS_Pension_Rules_2021::05_Family_Pension_DR_Rules_50_to_52,CCS_Pension Rule_50 Family_Pension Threshold Floor Ceiling CCS_Pension::Rule_50 Priority::Critical,Cloze
CCS21-b2259966,The family-pension rule's sub-rule (2)(a)(ii): death IN SERVICE →{{c1::50% of pay}}for{{c2::10 YEARS}}from day-after-death — with{{c3::NO age cap}}.,<b>Rule:</b> Enhanced 50% runs a full decade regardless of ages.<br><br><b>Hinglish:</b> Naukri me maut = 50% poore 10 saal; umar ki rok nahi.<br><br><b>Ref:</b> Rule 50(2)(a)(ii); Rule 50(2),CCS_Pension_Rules_2021::05_Family_Pension_DR_Rules_50_to_52,CCS_Pension Rule_50 Timeline CCS_Pension::Rule_50 Priority::Critical,Cloze
CCS21-e1b988d9,"The family-pension rule's sub-rule (2)(a)(iii): death AFTER retirement →{{c1::50%}}for{{c2::7 years OR till age 67, whichever is LESS}}.","<b>Rule:</b> The only 'whichever is LESS' in family pension — shorter of 7y/67 wins.<br><br><b>Hinglish:</b> Retirement-ke-baad maut = 50%, par 7-saal/67-umar me jo CHHOTA.<br><br><b>Trap:</b> LESS (not more).<br><br><b>Ref:</b> Rule 50(2)(a)(iii); Rule 50(2)",CCS_Pension_Rules_2021::05_Family_Pension_DR_Rules_50_to_52,CCS_Pension Rule_50 Timeline Exam_Trap CCS_Pension::Rule_50 Priority::Critical,Cloze
CCS21-d78fb247,"The family-pension rule's sub-rule (2)(a)(iii) First Proviso: enhanced ≤{{c1::authorised pension (incl. commuted)}}; Second Proviso: if authorised pension &lt; 30%, floor ={{c2::ordinary rate}}; Explanation 2: 'authorised' INCLUDES{{c3::commuted portion}}; Explanation 3: includes{{c4::compulsory-retirement pension + compassionate allowance}}.","<b>Rule:</b> Cap + floor + 2 clarifications fence the post-retirement enhanced rate.<br><br><b>Hinglish:</b> Seema (authorised-pension), farsh (ordinary-dar); commuted/compulsory/daya sab andar.<br><br><b>Ref:</b> Rule 50(2)(a)(iii) provisos; Expl.2, 3; Rule 50(2)",CCS_Pension_Rules_2021::05_Family_Pension_DR_Rules_50_to_52,CCS_Pension Rule_50 Proviso Explanation CCS_Pension::Rule_50 Priority::High,Cloze
CCS21-72c943e0,"The family-pension rule's sub-rule (2)(a)(iv): ENHANCED band = floor{{c1::Rs 9,000}}, ceiling{{c2::Rs 1,25,000}}; the family-pension rule's sub-rule (2)(b): after enhanced spell,{{c3::AUTOMATIC ordinary rate}}(≤ Rs 75,000).","<b>Rule:</b> Enhanced ceiling (1.25L) &gt; ordinary ceiling (75K); reversion is automatic, no fresh sanction.<br><br><b>Hinglish:</b> Enhanced 9,000–1,25,000; muddat khatm to khud 30%-dar par.<br><br><b>Ref:</b> Rule 50(2)(a)(iv), 50(2)(b); Rule 50(2)",CCS_Pension_Rules_2021::05_Family_Pension_DR_Rules_50_to_52,CCS_Pension Rule_50 Ceiling Floor CCS_Pension::Rule_50 Priority::Critical,Cloze
CCS21-f4d32f47,"Retired at 60 with pension Rs 40,000; dies at 63: enhanced family pension rate and period?","<b>Rule:</b> 50% of pay (say Rs 35,000) for 7y-from-death OR till-67 → 63+7=70 vs 67 → LESSER = till age 67 (4 years), capped at authorised Rs 40,000, then auto-ordinary 30%.<br><br><b>Hinglish:</b> 50% sirf 67 tak (4 saal), 40,000 ki chhat, phir 30%.<br><br><b>Ref:</b> Rule 50(2)(a)(iii); Example 7",CCS_Pension_Rules_2021::05_Family_Pension_DR_Rules_50_to_52,CCS_Pension Rule_50 Scenario Worked_Example CCS_Pension::Rule_50 Priority::Critical,Basic
CCS21-00086aae,The family-pension rule's sub-rule (3) additional FAMILY pension slabs mirror its pension counterpart —{{c1::20/30/40/50/100}}— but keyed to the{{c2::FAMILY pensioner's age}}; the family-pension rule's sub-rule (4): rounding must{{c3::NOT breach the max}}(proviso).,"<b>Rule:</b> Same ladder, different climber (widow's age, not servant's); rounding capped.<br><br><b>Hinglish:</b> Seedhi wahi, umar vidva/bacche ki; gol karne me chhat na toote.<br><br><b>Ref:</b> Rule 50(3), 50(4); Rule 50(3); Rule 44(6); Rule 50(4)",CCS_Pension_Rules_2021::05_Family_Pension_DR_Rules_50_to_52,CCS_Pension Rule_50 Additional_Pension CCS_Pension::Rule_50 Priority::High,Cloze
CCS21-e3ed84bc,The family-pension rule's sub-rule (6) FOUR priority tiers:{{c1::widow/widower}}→{{c2::children}}→{{c3::dependent parents}}→{{c4::dependent disabled siblings}}.,<b>Rule:</b> Strict queue — higher tier alive/eligible blocks lower tiers.<br><br><b>Hinglish:</b> Patni→bacche→maa-baap→divyang bhai-behen — kram todo mat.<br><br><b>Mnemonic:</b> 'Wife-Children-Parents-Siblings'.<br><br><b>Ref:</b> Rule 50(6),CCS_Pension_Rules_2021::05_Family_Pension_DR_Rules_50_to_52,CCS_Pension Rule_50 Mnemonic CCS_Pension::Rule_50 Priority::High,Cloze
CCS21-793cb20a,The family-pension rule's sub-rule (7)(a):{{c1::closed exception list}}to the queue; the family-pension rule's sub-rule (7)(b):{{c2::fractions ignored}}in shares.,"<b>Rule:</b> Only listed exceptions bend the queue; paise-fractions dropped.<br><br><b>Hinglish:</b> Kataar sirf likhi-chhoot par mudegi; chhutta-paisa chhodo.<br><br><b>Ref:</b> Rule 50(7)(a), 50(7)(b); Rule 50(7)",CCS_Pension_Rules_2021::05_Family_Pension_DR_Rules_50_to_52,CCS_Pension Rule_50 Exception CCS_Pension::Rule_50 Priority::Medium,Cloze
