#separator:Comma
#html:true
#guid column:1
#notetype column:6
#deck column:4
#tags column:5
#columns:GUID,Front_Text,Back_Extra,Deck,Tags,NoteType
CCS21-83d077af,The event rule's sub-rule (1): non-superannuation cases file Form 6-A{{c1::immediately after approval/effectiveness}}; the event rule's sub-rule (2): ladder ends at '{{c2::ANY OTHER member}}' (vs the calendar rule's '{{c3::the member}}').,"<b>Rule:</b> Event-clock filing + keyword shift ANY OTHER vs THE.<br><br><b>Hinglish:</b> Approval/effect par turant; 'ANY OTHER' shabd pakdo.<br><br><b>Trap:</b> ANY OTHER vs THE.<br><br><b>Ref:</b> Rule 58(1), 58(2); Rule 58(1); Rule 58(2); Rule 57",CCS_Pension_Rules_2021::07_Retirement_Processing_Rules_58_to_70,CCS_Pension Rule_58 Rule_57 Exam_Trap CCS_Pension::Rule_58 Priority::Critical,Cloze
CCS21-2ef94464,"The case-build rule's sub-rule (1): HoO completes{{c1::Form 7 Part I + checklist + calculation sheet}}— calendar cases in{{c2::4 months}}, event cases in{{c3::2 months}}; the case-build rule's sub-rule (2): death after retirement without forms →{{c4::the authorisation rule}}.","<b>Rule:</b> 4-vs-2 forwarding clock; death-detour to the authorisation rule.<br><br><b>Hinglish:</b> Form 7 Part I: 57 wale 4 mahine, 58 wale 2 mahine; maut ho to the authorisation rule.<br><br><b>Ref:</b> Rule 59(1), 59(2); Rule 59(1); Rule 57; Rule 58; Rule 59(2); Rule 80(5)",CCS_Pension_Rules_2021::07_Retirement_Processing_Rules_58_to_70,CCS_Pension Rule_59 Timeline Form CCS_Pension::Rule_59 Priority::High,Cloze
CCS21-0972b59a,"The forwarding rule's sub-rule (1) HoO→AO bundle: (i){{c1::Form 6-A}}(superseding Form 4 + Form 6 + Format 9 undertaking); second,{{c2::Form 7 + checklist + calculation sheet + Format 10}}; third,{{c3::service book + documents}}.",<b>Rule:</b> 2024 single-form bundle; Format 10 is the covering letter.<br><br><b>Hinglish:</b> Form 6-A + Form 7-set + service book — Format 10 lifafe me.<br><br><b>Ref:</b> Rule 60(1)(i)-(iii); Rule 60(1),CCS_Pension_Rules_2021::07_Retirement_Processing_Rules_58_to_70,CCS_Pension Rule_60 Form Format CCS_Pension::Rule_60 Priority::High,Cloze
CCS21-085568c5,The forwarding rule's sub-rule (2): Format 10 must flag{{c1::Government dues + the withholding rule's sub-rule (5) DoE intimation}}; the forwarding rule's sub-rule (3):{{c2::copies retained}}; the forwarding rule's sub-rule (4): dispatch{{c3::4 months (superannuation) / 2 months (others)}}.,"<b>Rule:</b> Dues-flag + retention + 4/2 dispatch clock.<br><br><b>Hinglish:</b> Format 10 me baqaya-likho; copy rakho; 4/2 mahine me bhejo.<br><br><b>Ref:</b> Rule 60(2), 60(3), 60(4); Rule 60(2); Rule 68(5); Rule 67; Rule 60(3); Rule 60(4)",CCS_Pension_Rules_2021::07_Retirement_Processing_Rules_58_to_70,CCS_Pension Rule_60 Timeline CCS_Pension::Rule_60 Priority::High,Cloze
CCS21-c7bce867,The prompt-action rule's sub-rule (1)(2): authorities act{{c1::PROMPTLY}}— with{{c2::NO day limit}}fixed.,"<b>Rule:</b> 'Promptly' without a number — contrast every numbered clock around it.<br><br><b>Hinglish:</b> 'Turant' karo — din-ginti nahi.<br><br><b>Trap:</b> No day limit.<br><br><b>Ref:</b> Rule 61(1), 61(2); Rule 61(1); Rule 2",CCS_Pension_Rules_2021::07_Retirement_Processing_Rules_58_to_70,CCS_Pension Rule_61 Exam_Trap CCS_Pension::Rule_61 Priority::Medium,Cloze
CCS21-5905e9a3,The provisional-pension rule's sub-rule (1)(2): provisional pension triggers when delay is{{c1::NOT attributable to proceedings}}— i.e.{{c2::Rule forwarding failure or AO return}}.,"<b>Rule:</b> Admin-lapse provisional; proceedings-cases go the Rule provisional-pension/provisional-pension route instead.<br><br><b>Hinglish:</b> Daftar ki deri par provisional; karyavahi wale provisional-pension/provisional-pension me.<br><br><b>Ref:</b> Rule 62(1), 62(2); Rule 62(1); Rule 2; Rule 60(4); Rule 62",CCS_Pension_Rules_2021::07_Retirement_Processing_Rules_58_to_70,CCS_Pension Rule_62 Provisional_Pension CCS_Pension::Rule_62 Priority::High,Cloze
CCS21-92a88118,The provisional-pension rule's sub-rule (3)(a) letter of Sanction:{{c1::100% pension provisional}}+{{c2::100% gratuity minus 10% withheld}}; the provisional-pension rule's sub-rule (3)(b):{{c3::Government dues + withholding}}adjust first.,"<b>Rule:</b> Full-pension/90%-gratuity lifeline after dues-cut.<br><br><b>Hinglish:</b> Poori pension + 90% gratuity — baqaya kaat kar.<br><br><b>Ref:</b> Rule 62(3)(a), 62(3)(b); Rule 62(3); Rule 67; Rule 68",CCS_Pension_Rules_2021::07_Retirement_Processing_Rules_58_to_70,CCS_Pension Rule_62 Threshold CCS_Pension::Rule_62 Priority::Critical,Cloze
CCS21-96b8023d,"The provisional-pension rule's sub-rule (4): sanction provisional within{{c1::10 days (superannuation) / 1 month (others)}}; the provisional-pension rule's sub-rule (6)(a):{{c2::6-month cap, 'whichever LATER'}}.","<b>Rule:</b> 10-day/1-month sanction clock; 6-month outer cap on later-basis.<br><br><b>Hinglish:</b> 10-din/1-mahine me sanction; 6 mahine se zyada nahi (later-wala).<br><br><b>Ref:</b> Rule 62(4), 62(6)(a); Rule 62(4); Rule 62(6)",CCS_Pension_Rules_2021::07_Retirement_Processing_Rules_58_to_70,CCS_Pension Rule_62 Timeline CCS_Pension::Rule_62 Priority::Critical,Cloze
CCS21-3f941a01,The provisional-pension rule's sub-rule (6)(b): excess provisional PENSION is{{c1::RECOVERABLE}}; but the provisional-pension rule's sub-rule (6)(c)(i): excess provisional GRATUITY is{{c2::NOT refundable}}; the provisional-pension rule's sub-rule (6)(c)(ii): HoO must{{c3::reduce such cases + fix accountable officers}}.,"<b>Rule:</b> Pension-excess comes back; gratuity-excess stays — asymmetry + accountability.<br><br><b>Hinglish:</b> Zyada pension wapas; zyada gratuity wapas NAHI — HoO jawabdeh.<br><br><b>Trap:</b> Recoverable vs not.<br><br><b>Ref:</b> Rule 62(6)(b), 62(6)(c); Rule 62(6)",CCS_Pension_Rules_2021::07_Retirement_Processing_Rules_58_to_70,CCS_Pension Rule_62 Exam_Trap CCS_Pension::Rule_62 Priority::Critical,Cloze
CCS21-f5b54099,The provisional-pension rule's sub-rule (7): provisional accepted as final →{{c1::immediate PPO}}; the provisional-pension rule's sub-rule (8)(9): withheld{{c2::10% released after PPO}}— allottee needs{{c3::NDC}}; the provisional-pension rule's sub-rule (10):{{c4::HoO responsibility}}.,<b>Rule:</b> Finalisation shortcut + 10% tail + NDC-gate + HoO onus.<br><br><b>Hinglish:</b> Provisional pakka to turant PPO; 10% baad me (makaan walo ko NDC par).<br><br><b>Ref:</b> Rule 62(7)-(10); Rule 62(7); Rule 62(8); Rule 9; Rule 62(10),CCS_Pension_Rules_2021::07_Retirement_Processing_Rules_58_to_70,CCS_Pension Rule_62 CCS_Pension::Rule_62 Priority::High,Cloze
CCS21-ae39a89f,"The pension-payment rule's sub-rule (1)(a): AO checks +{{c1::Form 7 Part II}}+ assesses pension/family pension/gratuity, PPO{{c2::2 months BEFORE superannuation}}; the pension-payment rule's sub-rule (1)(b):{{c3::45 days}}for others; the pension-payment rule's sub-rule (1)(c):{{c4::24-month}}emoluments verification.",<b>Rule:</b> Advance-PPO engine: 2-month/45-day + 24-month pay audit.<br><br><b>Hinglish:</b> Retirement se 2 mahine pehle PPO; doosron me 45 din; 24-mahine vetan-jaanch.<br><br><b>Ref:</b> Rule 63(1)(a)-(c); Rule 63(1),CCS_Pension_Rules_2021::07_Retirement_Processing_Rules_58_to_70,CCS_Pension Rule_63 Timeline CCS_Pension::Rule_63 Priority::Critical,Cloze
CCS21-02bedf1a,The pension-payment rule's sub-rule (1)(d):{{c1::spouse PPO}}(joint authorisation); first proviso:{{c2::multiple wives}}mechanics; second proviso:{{c3::void/voidable-marriage children — surviving widow FIRST}}.,<b>Rule:</b> Spouse co-authorised in PPO; polygamy + legitimacy ladders fenced.<br><br><b>Hinglish:</b> PPO me patni saath; kai patniyaan/bacche — kram se.<br><br><b>Ref:</b> Rule 63(1),CCS_Pension_Rules_2021::07_Retirement_Processing_Rules_58_to_70,CCS_Pension Rule_63 Proviso CCS_Pension::Rule_63 Priority::High,Cloze
CCS21-9a5d07bf,The pension-payment rule's sub-rule (4)all 2 clauses (2024 verified): '{{c1::Format 9}}' was REPLACED by '{{c2::Form 6-A}}' — the undertaking now travels inside Form 6-A.,"<b>Rule:</b> Verified G.S.R. 410(E) cl.9 substitution (spec's 'Format 9 only' label is inverted).<br><br><b>Hinglish:</b> pension-payment me ab Format 9 nahi, Form 6-A — undertaking andar sama gayi.<br><br><b>Ref:</b> Rule 63(4); G.S.R. 410(E) cl.9; Rule 63(a)-(b)",CCS_Pension_Rules_2021::07_Retirement_Processing_Rules_58_to_70,CCS_Pension Rule_63 GSR_410_E_2024 Amendment Form_6A CCS_Pension::Rule_63 Priority::High,Cloze
CCS21-e0087307,"Provisional Pension vs Pension Payment{{c1::provisional (HoO, 100%/90%, 6-month cap)}}vs{{c2::final (AO, PPO, 2-month/45-day)}}.","<b>Rule:</b> the provisional-pension rule = HoO lifeline when papers lag; the pension-payment rule = AO final authorisation.<br><br><b>Hinglish:</b> 62 = kaam-chalau (HoO); 63 = pakka (AO-PPO).<br><br><b>Ref:</b> Rules 62, 63; Rule 62; Rule 63",CCS_Pension_Rules_2021::07_Retirement_Processing_Rules_58_to_70,CCS_Pension Rule_62 Rule_63 Comparison CCS_Pension::Rule_62 Priority::Critical,Cloze
