#separator:Comma
#html:true
#guid column:1
#notetype column:6
#deck column:4
#tags column:5
#columns:GUID,Front_Text,Back_Extra,Deck,Tags,NoteType
"CCS21-3e772b52","The emoluments rule: emoluments ={{c1::basic pay per}}at{{c2::retirement/death}}; NPA counts for{{c3::medical officers}};{{c4::stagnation increment}}counts (Explanation).","<b>Rule:</b> Timing is exit-date pay; NPA + stagnation increment are inclusions.<br><br><b>Hinglish:</b> Aakhri basic pay (+NPA doctor ka, stagnation sabka) = emoluments.<br><br><b>Ref:</b> Rule 31; FR 9(21)(a)(i)","CCS_Pension_Rules_2021::03_Emoluments_Classes_Rules_31_to_43","CCS_Pension Rule_31 Emoluments CCS_Pension::Rule_31 Priority::Critical","Cloze"
"CCS21-5dbcee99","average emoluments ={{c1::last 10 months}}average; the average-emoluments rule's sub-rule (2){{c2::ignores pay reduction}}; average-emoluments takes{{c3::actual increases}}as they fell due.","<b>Rule:</b> Reductions forgiven, genuine increases honoured — average protects the servant.<br><br><b>Hinglish:</b> Vetana ghata to nazar-andaaz; badha to gin lo — 10 mahine ka average.<br><br><b>Ref:</b> Rule 32(1)-(3); Rule 32; Rule 32(2); Rule 32(3)","CCS_Pension_Rules_2021::03_Emoluments_Classes_Rules_31_to_43","CCS_Pension Rule_32 Average_Emoluments CCS_Pension::Rule_32 Priority::High","Cloze"
"CCS21-abad5c71","{{c1::EOL/suspension}}spells are EXCLUDED from the average; sub-rules (5)-(6):{{c2::notional increases}}are added back.","<b>Rule:</b> Zero-pay spells don't drag the average; due-but-delayed increments are notionally restored.<br><br><b>Hinglish:</b> Bina-tankhvah daur average se bahar; ruki increment notionally andar.<br><br><b>Ref:</b> Rule 32(4)-(6); Rule 32(4)","CCS_Pension_Rules_2021::03_Emoluments_Classes_Rules_31_to_43","CCS_Pension Rule_32 Average_Emoluments CCS_Pension::Rule_32 Priority::High","Cloze"
"CCS21-073f06c5","Pension base picks{{c1::emoluments OR average emoluments, whichever is MORE BENEFICIAL}}(the average-emoluments rule read with the pension rule).","<b>Rule:</b> Compute both; servant gets the higher — worked in Examples 9/9A.<br><br><b>Hinglish:</b> Dono nikaal kar jo bada wahi pension ka base — karmchari ke haq me.<br><br><b>Ref:</b> Rule 32; Rule 44(1); Rule 44","CCS_Pension_Rules_2021::03_Emoluments_Classes_Rules_31_to_43","CCS_Pension Rule_32 Rule_44 Pension_Calculation CCS_Pension::Rule_32 Priority::Critical","Cloze"
"CCS21-cb525894","The superannuation rule:{{c1::superannuation pension}}(or service gratuity per the pension rule) vests on{{c2::age superannuation or extension expiry}}.","<b>Rule:</b> The default pension class — retire at prescribed age (or extended tenure end).<br><br><b>Hinglish:</b> Umar poori = superannuation pension; QS &lt;10 ho to service gratuity.<br><br><b>Ref:</b> Rule 33; Rule 44","CCS_Pension_Rules_2021::03_Emoluments_Classes_Rules_31_to_43","CCS_Pension Rule_33 Classes_Of_Pension CCS_Pension::Rule_33 Priority::High","Cloze"
"CCS21-4b8b23b8","first,{{c1::own volition (voluntary-retirement)}}; second,{{c2::surplus Special VRS (DoPT O.M. 28.02.2002)}}; third,{{c3::Government retires servant (premature-retirement)}}.","<b>Rule:</b> Three doors into retiring pension: self, surplus-VRS, Government.<br><br><b>Hinglish:</b> Khud, surplus-VRS, ya Sarkar nikaale — teeno me retiring pension.<br><br><b>Ref:</b> Rule 34(1)(a)-(c); Rule 34(1); Rule 43; FR 56; Rule 42","CCS_Pension_Rules_2021::03_Emoluments_Classes_Rules_31_to_43","CCS_Pension Rule_34 Classes_Of_Pension CCS_Pension::Rule_34 Priority::High","Cloze"
"CCS21-e81a657d","permanent surplus servants get ex-gratia{{c1::IN ADDITION TO}}pension + gratuity.","<b>Rule:</b> Ex-gratia is a top-up, not a substitute.<br><br><b>Hinglish:</b> Surplus walo ka ex-gratia pension/gratuity ke UPAR milta hai.<br><br><b>Trap:</b> In addition to — not instead of.<br><br><b>Ref:</b> Rule 34(2); Rule 44; Rule 45","CCS_Pension_Rules_2021::03_Emoluments_Classes_Rules_31_to_43","CCS_Pension Rule_34 Exam_Trap CCS_Pension::Rule_34 Priority::High","Cloze"
"CCS21-041916a1","absorption in State/autonomous service ={{c1::deemed retirement}}(subject to its limiting clause); gratuity ceiling proviso uses{{c2::SAME pay as State retirement}}.","<b>Rule:</b> Deemed-retirement fiction; ceiling computed on State-retirement pay.<br><br><b>Hinglish:</b> Rajya me gaye = retired maane gaye; gratuity-seema wahin ke vetan par.<br><br><b>Ref:</b> Rule 35(1); Rule 35(6)","CCS_Pension_Rules_2021::03_Emoluments_Classes_Rules_31_to_43","CCS_Pension Rule_35 Absorption CCS_Pension::Rule_35 Priority::High","Cloze"
"CCS21-d0d08947","absorption date = (i){{c1::immediate absorption date}}or (ii){{c2::prior deputation date}}; the State-absorption rule's sub-rule (3)(5):{{c3::Format 5}}relieving order, written joining extension, leave/EOL, resignation{{c4::one day before joining}}.","<b>Rule:</b> Date pegs + Format 5 paperwork + day-before resignation.<br><br><b>Hinglish:</b> Tareekh pakki, Format 5 me order, joining se ek din pehle isteefa.<br><br><b>Ref:</b> Rule 35(2)-(5); Rule 35(2); Rule 35(3); Rule 5","CCS_Pension_Rules_2021::03_Emoluments_Classes_Rules_31_to_43","CCS_Pension Rule_35 Format CCS_Pension::Rule_35 Priority::High","Cloze"
"CCS21-fac07ab7","absorption in{{c1::wholly/substantially owned/controlled Corporation/Company or controlled/financed Body}}(subject to its limiting clause); ceiling proviso uses{{c2::body-retirement pay}}.","<b>Rule:</b> PSU/body absorption twin of the State-absorption rule; ceiling follows body pay.<br><br><b>Hinglish:</b> PSU/body me gaye — gratuity-seema body ke vetan par.<br><br><b>Ref:</b> Rule 36(1); Rule 36(9); Rule 35","CCS_Pension_Rules_2021::03_Emoluments_Classes_Rules_31_to_43","CCS_Pension Rule_36 Absorption PSU CCS_Pension::Rule_36 Priority::High","Cloze"
