#separator:Comma
#html:true
#guid column:1
#notetype column:6
#deck column:4
#tags column:5
#columns:GUID,Front_Text,Back_Extra,Deck,Tags,NoteType
CCS21-5d66e164,"The pension rule's sub-rule (1): QS ≥{{c1::10 years}}(under superannuation) → pension ={{c2::50% of emoluments/average, whichever MORE beneficial}}, floor{{c3::Rs 9,000}}, ceiling{{c4::Rs 1,25,000}}.","<b>Rule:</b> 7 pension classes feed the pension rule; proviso waives 10y for invalid pension cases (with invalid-pension conditions).<br><br><b>Hinglish:</b> 10 saal + aadhi tankhvah (jo badi) — 9,000 se kam nahi, 1,25,000 se zyada nahi.<br><br><b>Ref:</b> Rule 44(1); Rule 33; Rule 39; Rule 39(9); Rule 44",CCS_Pension_Rules_2021::04_Pension_Gratuity_Rules_44_to_49,CCS_Pension Rule_44 Pension_Calculation Threshold Floor Ceiling CCS_Pension::Rule_44 Priority::Critical,Cloze
CCS21-bf54fef5,"The pension rule's sub-rule (2)(3): QS &lt; 10 years →{{c1::service gratuity}}={{c2::half-month emoluments per completed 6-monthly period}},{{c3::no min/max}},{{c4::one-time}}payment.","<b>Rule:</b> Service gratuity is the sub-10-year substitute for pension — paid once, uncapped.<br><br><b>Hinglish:</b> 10 se kam seva = ek-mushth service gratuity (aadha-mahina × chhamahi); koi seema nahi.<br><br><b>Ref:</b> Rule 44(2), 44(3); Rule 44(2); Rule 3",CCS_Pension_Rules_2021::04_Pension_Gratuity_Rules_44_to_49,CCS_Pension Rule_44 Gratuity CCS_Pension::Rule_44 Priority::High,Cloze
CCS21-86bf4987,"The pension rule's sub-rule (6) additional pension slabs (on BASIC pension, by RETIRED person's age, from 1st of month): 80–85{{c1::20%}}, 85–90{{c2::30%}}, 90–95{{c3::40%}}, 95–100{{c4::50%}}, 100+{{c5::100%}}— NOTE: no{{c6::60%}}slab.",<b>Rule:</b> 5 slabs: 20/30/40/50/100; base = basic pension (not +DR); trigger = pensioner's own age.<br><br><b>Hinglish:</b> 80 ke baad 20-30-40-50-100; basic pension par; 60% naam ki seedhi NAHI.<br><br><b>Trap:</b> No 60% slab.<br><br><b>Ref:</b> Rule 44(6),CCS_Pension_Rules_2021::04_Pension_Gratuity_Rules_44_to_49,CCS_Pension Rule_44 Additional_Pension Threshold Mnemonic CCS_Pension::Rule_44 Priority::Critical,Cloze
CCS21-9f60b771,The pension rule's sub-rule (7): service fraction ≥{{c1::3 months}}counts as a{{c2::completed 6-monthly period}}; pension near-miss:{{c3::9y 9m+ = 10 years}}(pension gate).,"<b>Rule:</b> Rounding builds 6-monthly blocks; 9y9m fiction opens the pension door (gratuity's twin: 4y9m = 5y under the gratuity rule).<br><br><b>Hinglish:</b> 3 mahine = aadha saal; 9y9m matlab 10 saal — pension mil gayi.<br><br><b>Ref:</b> Rule 44(7), 44(8); Rule 44(7); Rule 44(8); Rule 45",CCS_Pension_Rules_2021::04_Pension_Gratuity_Rules_44_to_49,CCS_Pension Rule_44 Near_Miss Threshold CCS_Pension::Rule_44 Priority::Critical,Cloze
CCS21-84737b46,"The pension rule's sub-rule (9): each amount rounded to{{c1::whole rupees, next higher}}, computed{{c2::separately for each amount}}; the pension rule's sub-rule (10):{{c3::broken-period}}rounding follows the same next-higher logic.","<b>Rule:</b> Round each pension/gratuity head independently upward — never pool then round.<br><br><b>Hinglish:</b> Har rakam alag se upar ki taraf gol; jod kar gol mat karo.<br><br><b>Ref:</b> Rule 44(9), 44(10); Rule 44(9); Rule 44(10)",CCS_Pension_Rules_2021::04_Pension_Gratuity_Rules_44_to_49,CCS_Pension Rule_44 Procedure CCS_Pension::Rule_44 Priority::High,Cloze
CCS21-1359aff6,"QS 9y10m, emoluments Rs 60,000: pension or service gratuity, and how much?","<b>Rule:</b> 9y10m &gt; 9y9m → pension deems 10y → PENSION case: 50% × 60,000 = Rs 30,000/month (in 9,000–1,25,000 band) + separate retirement gratuity under the gratuity rule's sub-rule.<br><br><b>Hinglish:</b> Ek mahine ne gratuity ko pension bana diya — 30,000/month.<br><br><b>Ref:</b> Rule 44(1), 44(8); Example 2; Rule 44(8); Rule 45(1)(a); Rule 44(1); Rule 44(a)",CCS_Pension_Rules_2021::04_Pension_Gratuity_Rules_44_to_49,CCS_Pension Rule_44 Near_Miss Scenario Worked_Example CCS_Pension::Rule_44 Priority::Critical,Basic
CCS21-f6272a1d,"The gratuity rule's sub-rule (1)(a): retirement gratuity needs{{c1::5-year QS AND pension/service-gratuity eligibility}}; formula{{c2::one-fourth emoluments × completed 6-monthly periods}}, capped at{{c3::16.5 × emoluments}}+ overall{{c4::Rs 25 lakh operative}}ceiling.","<b>Rule:</b> Dual gate (5y + pension-eligible); ¼-rate; 16.5× emoluments cap; then Rs 25L overall cap (rule text Rs 20L).<br><br><b>Hinglish:</b> 5 saal + pension-wala; chauthai × chhamahi; 16.5 guna, phir 25 lakh.<br><br><b>Ref:</b> Rule 45(1)",CCS_Pension_Rules_2021::04_Pension_Gratuity_Rules_44_to_49,CCS_Pension Rule_45 Gratuity Threshold Ceiling CCS_Pension::Rule_45 Priority::Critical,Cloze
CCS21-9b459030,"The gratuity rule's sub-rule (1)(b) death gratuity slabs: &lt;1y{{c1::2× emoluments}}; 1–5y{{c2::6×}}; 5–11y{{c3::12×}}; 11–20y{{c4::20×}}; 20y+{{c5::half-month × each 6-monthly, max 33×}}.",<b>Rule:</b> 5 slabs: gratuity/gratuity/gratuity/military-counting/superannuation — the 20y+ slab uses half-month rate (like service gratuity) with 33× cap.<br><br><b>Hinglish:</b> 2-6-12-20-33 — maut-gratuity ki seedhi; aakhri me aadha-mahina wala formula.<br><br><b>Mnemonic:</b> 'Do-Che-Barah-Bees-T33tees'.<br><br><b>Ref:</b> Rule 45(1)(b); Rule 45(1); Rule 45; Rule 20; Rule 33,CCS_Pension_Rules_2021::04_Pension_Gratuity_Rules_44_to_49,CCS_Pension Rule_45 Death_Gratuity Threshold Mnemonic CCS_Pension::Rule_45 Priority::Critical,Cloze
CCS21-d3c4b743,Death gratuity: QS 7y →{{c1::12×}}; QS 12y →{{c2::20×}}; QS 25y (50 six-monthly) →{{c3::half-month × 50 = 25×}}(within 33× cap).,<b>Rule:</b> Slab-pick by QS band; 20y+ uses arithmetic (½ × N six-monthly) capped at 33×.<br><br><b>Hinglish:</b> 7 saal = 12 guna; 12 saal = 20 guna; 25 saal = 25 guna (33 ke andar).<br><br><b>Ref:</b> Rule 45(1)(b); Example 4,CCS_Pension_Rules_2021::04_Pension_Gratuity_Rules_44_to_49,CCS_Pension Rule_45 Death_Gratuity Application CCS_Pension::Rule_45 Priority::Critical,Cloze
CCS21-4ea26d0a,"Gratuity ceiling: CURRENT{{c1::Rs 25 lakh w.e.f. 01.01.2024 (OM 30.05.2024)}}; rule text{{c2::Rs 20 lakh}}— applies to BOTH retirement AND death gratuity, AFTER the multiple.","<b>Rule:</b> 7th CPC +25% on DA hitting 50%; applies to CCS (Pension) 2021 + CCS (Gratuity under NPS) 2021 civil staff only (Oct-2025 clarification). ⚠️ VOLATILE — re-check OM.<br><br><b>Hinglish:</b> Rule me 20, lagu 25 (01.01.2024 se); guna ke BAAD kaato; civilians ko hi.<br><br><b>Last verified:</b> 2026-09-20<br><br><b>Ref:</b> Rule 45(1) proviso; OM 30.05.2024",CCS_Pension_Rules_2021::04_Pension_Gratuity_Rules_44_to_49,CCS_Pension Rule_45 Ceiling Threshold Gratuity CCS_Pension::Rule_45 Priority::Critical,Cloze
